id,name,country,country_code,abbreviation,gender,pro_year,handedness,highest_singles_ranking,highest_doubles_ranking,weight,height,date_of_birth,highest_singles_ranking_date,highest_doubles_ranking_date,Clothing,Shoes,Racket,Sleeve/Shirt/Cap
sr:competitor:289105,"Onclin, Gauthier",Belgium,BEL,ONC,male,,right,194.0,,,,2001-02-26,9.2023,,,,,
sr:competitor:145112,"Huesler, Marc-Andrea",Switzerland,CHE,HUE,male,,left,47.0,132.0,88.0,196.0,1996-06-24,2.2023,10.2021,,,,
sr:competitor:227358,"Walton, Adam",Australia,AUS,WAL,male,,right,86.0,134.0,,,1999-04-17,8.2024,3.2024,Lotto,Lotto,Babolat,
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN,male,2014.0,right,52.0,149.0,76.0,183.0,1997-05-05,5.2019,2.202,,,,
sr:competitor:102339,"Van de Zandschulp, Botic",Netherlands,NLD,VAN,male,,right,22.0,60.0,83.0,188.0,1995-10-04,8.2022,5.2023,,,,
sr:competitor:63606,"Rinderknech, Arthur",France,FRA,RIN,male,,right,42.0,124.0,86.0,196.0,1995-07-23,10.2022,11.2021,,,,
sr:competitor:255595,"Cerundolo, Francisco",Argentina,ARG,CER,male,,right,19.0,203.0,,,1998-08-13,6.2023,10.2022,Joma ? Adidas,Joma ? Adidas,Head,Radio Disney
sr:competitor:15387,"Cilic, Marin",Croatia,HRV,CIL,male,2005.0,right,3.0,49.0,89.0,198.0,1988-09-28,1.2018,4.2013,Head,Head,Head,IronMaxx
sr:competitor:106755,"Rublev, Andrey",Neutral,,RUB,male,2014.0,right,5.0,44.0,70.0,188.0,1997-10-20,9.2021,11.2023,K-Swiss x Rublo (own brand),Nike ? K-Swiss,Head,Waterdrop
sr:competitor:64570,"Garin, Cristian",Chile,CHL,GAR,male,2011.0,right,17.0,206.0,85.0,185.0,1996-05-30,9.2021,5.2021,Nike* ? About Sports,Nike,Head ? Wilson,
sr:competitor:73987,"Cachin, Pedro",Argentina,ARG,CAC,male,2011.0,right,48.0,219.0,77.0,185.0,1995-04-12,8.2023,5.2022,,,,
sr:competitor:257721,"Baez, Sebastian",Argentina,ARG,BAE,male,,right,18.0,189.0,,,2000-12-28,6.2024,7.2024,,,,
sr:competitor:371476,"Diaz Acosta, Facundo",Argentina,ARG,DIA,male,,left,47.0,173.0,,,2000-12-15,4.2024,11.2022,,,,
sr:competitor:39726,"Kubler, Jason",Australia,AUS,KUB,male,2011.0,right,63.0,27.0,74.0,178.0,1993-05-19,4.2023,5.2023,Asics,Asics,Babolat,BizCover
sr:competitor:64580,"Coric, Borna",Croatia,HRV,COR,male,2013.0,right,12.0,413.0,85.0,188.0,1996-11-14,11.2018,11.2016,,,,
sr:competitor:167370,"Ruusuvuori, Emil",Finland,FIN,RUU,male,2018.0,right,37.0,179.0,75.0,185.0,1999-04-02,4.2023,5.2022,Asics ? Head,Asics,Head,Porsche | Silja Line
sr:competitor:94485,"Bonzi, Benjamin",France,FRA,BON,male,2014.0,right,42.0,121.0,75.0,183.0,1996-06-09,2.2023,9.2022,,,,
sr:competitor:124916,"Gojo, Borna",Croatia,HRV,GOJ,male,,right,72.0,394.0,90.0,196.0,1998-02-27,11.2023,1.2022,Lotto,Lotto,Head,
sr:competitor:89632,"Jarry, Nicolas",Chile,CHL,JAR,male,2014.0,right,16.0,40.0,90.0,198.0,1995-10-11,5.2024,3.2019,,,,
sr:competitor:163504,"Medvedev, Daniil",Neutral,,MED,male,2014.0,right,1.0,170.0,83.0,198.0,1996-02-11,2.2022,8.2019,,,,
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE,male,,left,13.0,68.0,,,2002-10-09,8.2024,5.2024,,,,
sr:competitor:157456,"Davidovich Fokina, Alejandro",Spain,ESP,DAV,male,2019.0,right,21.0,196.0,80.0,180.0,1999-06-05,8.2023,2.2022,Diadora ? Adidas,Diadora ? Adidas,Head,
sr:competitor:80665,"Polmans, Marc",Australia,AUS,POL,male,2015.0,right,116.0,68.0,78.0,188.0,1997-05-02,10.202,10.2017,,,,
sr:competitor:14548,"Wawrinka, Stan",Switzerland,CHE,WAW,male,2002.0,right,3.0,88.0,81.0,183.0,1985-03-28,1.2014,2.2015,,,,
sr:competitor:658475,"van Assche, Luca",France,FRA,VAN,male,,right,63.0,335.0,,,2004-05-11,10.2023,1.2023,,,,
sr:competitor:122366,"Tsitsipas, Stefanos",Greece,GRC,TSI,male,2016.0,right,3.0,64.0,85.0,193.0,1998-08-12,8.2021,8.2022,,,,
sr:competitor:90080,"Khachanov, Karen",Neutral,,KHA,male,2013.0,right,8.0,53.0,87.0,198.0,1996-05-21,7.2019,1.2024,,,,
sr:competitor:54573,"Coria, Federico",Argentina,ARG,COR,male,2010.0,right,49.0,238.0,73.0,180.0,1992-03-09,2.2023,11.2021,About Sports,Adidas*,Head,Disney+
sr:competitor:48632,"Daniel, Taro",Japan,JPN,DAN,male,2010.0,right,58.0,351.0,80.0,191.0,1993-01-27,1.2024,5.2019,Mizuno,Mizuno,Babolat,
sr:competitor:169496,"Etcheverry, Tomas Martin",Argentina,ARG,ETC,male,,right,27.0,204.0,82.0,196.0,1999-07-18,2.2024,11.2024,K-Swiss,K-Swiss,Head ? Yonex,
sr:competitor:125006,"Borges, Nuno",Portugal,PRT,BOR,male,,right,30.0,69.0,75.0,185.0,1997-02-19,9.2024,9.2022,Head,Head,Head,
sr:competitor:18111,"Raonic, Milos",Canada,CAN,RAO,male,2008.0,right,3.0,103.0,98.0,196.0,1990-12-27,11.2016,6.2013,,,,
sr:competitor:157302,"Watanuki, Yosuke",Japan,JPN,WAT,male,2016.0,right,72.0,374.0,63.0,180.0,1998-04-12,10.2023,1.2019,Asics,Asics,Babolat ? Blacket out,SBC
sr:competitor:158896,"Hurkacz, Hubert",Poland,POL,HUR,male,2015.0,right,6.0,30.0,81.0,196.0,1997-02-11,8.2024,6.2022,,,,
sr:competitor:46391,"Struff, Jan-Lennard",Germany,DEU,STR,male,2009.0,right,21.0,21.0,92.0,196.0,1990-04-25,6.2023,10.2018,Diadora,Diadora,Head,OBO | IFM electronic
